time,lag1,lag2,lag3,lag4,lag5,lag1_scaled,lag2_scaled,lag3_scaled,lag4_scaled,lag5_scaled,direction,pred
2020-01-03 13:49:59.999,0.0028678994383332782,-0.0008074283846009328,8.96820770970884e-05,0.0015258271595576763,0.00035935675528213633,2.168786148512496,-0.6119658347314328,0.06675238654851796,1.1532842751846073,0.2707951819841091,-1.0,-1.0
2020-01-03 13:59:59.999,-0.0026884145594523955,0.0028678994383332782,-0.0008074283846009328,8.96820770970884e-05,0.0015258271595576763,-2.0351193064946753,2.1687860451758465,-0.6119775862356556,0.06678542718086179,1.1532729149443497,1.0,1.0
2020-01-03 14:09:59.999,0.0024198981112067575,-0.0026884145594523955,0.0028678994383332782,-0.0008074283846009328,8.96820770970884e-05,1.8298284827455513,-2.035119385595359,2.1686779291525395,-0.6119130518732259,0.06677637638969965,-1.0,-1.0
2020-01-03 15:19:59.999,-0.0032278338793804233,0.0024198981112067575,-0.0026884145594523955,0.0028678994383332782,-0.0008074283846009328,-2.4432437973865535,1.829828381363029,-2.0350818189606636,2.1686134383978017,-0.6119206600309316,1.0,1.0
2020-01-03 15:29:59.999,0.004569695690065268,-0.0032278338793804233,0.0024198981112067575,-0.0026884145594523955,0.0028678994383332782,3.4563646670803787,-2.443243874134356,1.829732011620467,-2.034951251179368,2.1685999199858887,-1.0,-1.0
2020-01-03 15:44:59.999,-0.0024166491958322344,0.004569695690065268,-0.0032278338793804233,0.0024198981112067575,-0.0026884145594523955,-1.8295017162972698,3.4563645563207013,-2.443192164303229,1.82968324828557,-2.0349558345439154,-1.0,1.0
2020-01-03 15:54:59.999,-0.00035851931906834197,-0.0024166491958322344,0.004569695690065268,-0.0032278338793804233,0.0024198981112067575,-0.27232128706143643,-1.829501796583361,3.456211820392647,-2.4430426598054527,1.8296704502996588,1.0,1.0
2020-01-03 15:59:59.999,0.0028645619802976073,-0.00035851931906834197,-0.0024166491958322344,0.004569695690065268,-0.0032278338793804233,2.166261028793271,-0.27232137632483994,-1.8294713554459898,3.456087586814587,-2.443046375735731,-1.0,-1.0
2020-01-03 16:04:59.999,-0.0005364806995623168,0.0028645619802976073,-0.00035851931906834197,-0.0024166491958322344,0.004569695690065268,-0.4069668125910189,2.166260925471179,-0.27234489791007227,-1.8293503281899404,3.4560713317628586,-1.0,-1.0
2020-01-03 16:09:59.999,-0.0025073891528312907,-0.0005364806995623168,0.0028645619802976073,-0.00035851931906834197,-0.0024166491958322344,-1.8981555397434375,-0.4069669010781766,2.1661528969536823,-0.27229612283431526,-1.8293553485773772,1.0,1.0
2020-01-03 16:14:59.999,8.96579549621029e-05,-0.0025073891528312907,-0.0005364806995623168,0.0028645619802976073,-0.00035851931906834197,0.06676950007868716,-1.8981556196337324,-0.40698575664076464,2.1660885233628915,-0.27230445287774685,1.0,1.0
2020-01-03 16:19:59.999,0.0003585514559746589,8.96579549621029e-05,-0.0025073891528312907,-0.0005364806995623168,0.0028645619802976073,0.2702142399139725,0.06676940886038889,-1.8981227993582979,-0.4069307340983664,2.166075010317908,-1.0,1.0
2020-01-03 16:24:59.999,-0.00035855145597462387,0.0003585514559746589,8.96579549621029e-05,-0.0025073891528312907,-0.0005364806995623168,-0.2723456018348059,0.27021414752279344,0.06673413638120723,-1.8979985866085598,-0.40693877796406136,1.0,1.0
